id,kind,stratum,domain,stage,proposition,status,population,weight,evidence_summary,solve_count_link,gap_type,claim_type,scope,system_locus,mechanic_resources,source_paths
P161,open question,epistemic,problem semantics,solution space,Solution multiplicity and completion-regime volume affect search difficulty and witness-relative diagnosis.,underasked parent premise,level,high,"Accepted-path sensitivity is recognized, but existence of many/few distinct completions is not first-class in diagnostics.",A single narrow witness can overstate first-loss significance on a level with many alternative solutions.,solution-space observability gap,causality / observability,level,problem semantics / solution space,multiplicity; regimes; topology,docs/solver-future-work.md; docs/solver-evaluation-evidence.md
P162,open question,architecture,failure learning & revision,communication,"Positive solve-local facts such as forced relations, contracts, or exact answers may be worth sharing, not only failures.",major open,invocation,high,The capability atlas identifies cross-process communication as weak; solve-local rediscovery work explicitly asks whether useful facts are recomputed.,"Shared positive facts can save work or preserve capability across DFS, beam, repair and exact probes.",positive knowledge handoff gap,persistence / lifetime,invocation,failure explanation / memory / communication,forced facts; contracts; exact answers,docs/solver-reasoning-capability-atlas.md; docs/solver-solve-local-rediscovery-preflight.md
P163,open question,mechanism,global obligation reasoning,global feasibility,"Future obligations may compete for spatial, axis, corridor, or intersection capacity even when each scalar bound passes.",major high-value open,state,very high,Current bounds are strong individually but weak at allocating shared future capacities among obligations.,A sound contention relation could prune doomed basins or guide regime retention.,resource-allocation feasibility gap,composition / interaction,state,strategic / global feasibility,cell; axis; corridor; intersection,docs/mechanic-state-contracts.md; docs/solver-per-instance-relational-feasibility-preflight.md
P164,implicit premise,architecture,global obligation reasoning,inference,Individually correct mechanic state contracts may still omit useful cross-mechanic derived relations.,high-value open,state,high,Mechanic state representation can be semantically correct while decision vocabulary lacks relations among mechanic families.,Cross-mechanic inference may expose solves without changing base mechanic semantics.,cross-mechanic inference gap,composition / interaction,state,strategic / global feasibility,cross-mechanic resources,docs/mechanic-state-contracts.md; docs/solver-reasoning-capability-atlas.md
P165,open question,epistemic,research method,diagnosis,Seed and restart sensitivity can distinguish rugged search basins from semantic or representation gaps.,underasked / historical evidence exists,level; action,medium-high,Retry and progress-conditioned continuation history contains seed/fingerprint information even though broad fan-out is closed as treatment.,Sensitivity structure can diagnose whether more stochastic exploration or new capability is needed.,landscape observability gap,observability,level; action,measurement / diagnosis,seed; restart; basin,docs/solver-archaeology-register.md; docs/solver-future-work.md
P166,implicit premise,epistemic,research method,closure,Broad randomization may be closed as a treatment while stochastic landscape diagnostics remain open.,semantic parent remains open,research lineage,medium,Closed retry/seed fan-out forms do not logically close use of stochasticity as a probe of basin structure.,Avoids overgeneralizing treatment negatives into diagnostic negatives.,closure-scope gap,generalization / portability,research lineage,measurement / closure,randomization,docs/solver-archaeology-register.md; docs/solver-future-work.md
P167,implicit premise,epistemic,research method,diagnosis,Operational-similarity measurements are policy-conditioned and trace-censored.,open / governing caveat,trace; population,high,Operational taxonomy warns that frontier/ranking divergence depends on encountered states and observer truncation.,Apparent redundancy can be an observation artifact.,trace censoring gap,observability / generalization,trace; population,measurement / attribution,encounter distribution; trace budget,docs/solver-technique-operational-taxonomy.md
P168,open question,epistemic,research method,falsification,Adversarial counterexample generation can search premise space by maximizing solver-belief versus exact-reality disagreement.,deferred / high-value method,research program,high,Future work preserves adversarial counterexample generation as a way to attack frozen hypotheses rather than broaden representative corpora.,Counterexamples can cheaply reveal missing dimensions and prevent overbroad claims.,adversarial falsification gap,falsification / observability,research program,measurement / premise generation,counterexample generation,docs/solver-future-work.md
P169,open question,architecture,global obligation reasoning,composition,Partial-order commutativity can eliminate redundant obligation permutations without claiming full state equivalence.,underasked / historical tool incomplete,state; plan,high,Residual-interface archaeology counted possible commuting cases but did not run the decision-bearing swap/replay test.,Proven commuting excursions could reduce factorial order search while preserving capability.,commutativity gap,sufficiency / expressivity,state; plan,strategic / global feasibility,order; interface,docs/solver-archaeology-register.md; docs/solver-per-instance-relational-feasibility-preflight.md
P170,premise,mechanism,search architecture,execution,Certified one-successor macro traversal can recover finite-envelope work without changing search choices.,historically used / current prevalence unknown,state; invocation,medium,Historical SolverV2 used inline forced-chain traversal; future work keeps a current census conditional on profiling.,Saved overhead can become solve headroom under a finite envelope.,forced-chain power gap,economics / marginal value,state; invocation,revision / repair / alternate search object,forced successor chains,docs/solver-archaeology-register.md; docs/solver-future-work.md
P171,implicit premise,epistemic,research method,archaeology,Dead or removed tooling can preserve an unresolved premise even when the implementation is gone.,governing archaeology principle,research lineage,high,The archaeology contract treats dead tooling as evidence of an unanswered question until disposition is recovered.,Prevents premise loss when code is removed or renamed.,historical observability gap,observability,research lineage,measurement / premise generation,dead tooling; historical lineage,docs/solver-archaeology-register.md
P172,implicit premise,epistemic,correctness & evaluation,evaluation,Early-success or first-match execution censors evidence about later actions on already-solved levels.,underasked / known execution effect,level; portfolio,medium-high,"Portfolio execution often exits on success, so later actions are unobserved on levels already solved by earlier actions.",Naive action-value estimates can undercount complementary later capability.,execution censoring gap,observability,level; portfolio,measurement / attribution,early exit; sequence,docs/solver-scheduling-policy.md; docs/solver-technique-operational-taxonomy.md
P173,implicit premise,architecture,"budget, routing & control",routing,Hand-tuned routing thresholds are hypotheses about structural regime boundaries.,underasked as parent premise,level; population,high,Scheduling policy permits simple static routing features but requires held-out evidence and warns about selection risk.,Threshold rules can silently encode false causal partitions of the residual.,routing-boundary hypothesis,causality / generalization,level; population,budget / scheduling / continuation,routing features; thresholds,docs/solver-scheduling-policy.md
P174,open question,architecture,"budget, routing & control",routing,Abrupt threshold boundaries may misroute structurally adjacent levels unless the underlying regime transition is real.,underasked,level; population,medium-high,Static threshold routing is a practical mechanism but its discontinuities need causal support rather than convenient partitioning.,Misrouting near boundaries can lose unique capability.,routing discontinuity gap,correctness / causality,level; population,budget / scheduling / continuation,thresholds; regime transitions,docs/solver-scheduling-policy.md
P175,open question,epistemic,correctness & evaluation,evaluation,Counterfactual solved-set churn is evidence about hidden capability exchange even when net solve count rises.,underasked / partly practiced,population; experiment,high,Gain/loss accounting and rare-capability preservation show that net count can hide exchanged winners.,A net-positive treatment can still destroy valuable capability or reveal distinct basins.,aggregate-metric observability gap,observability,population; experiment,measurement / attribution,gain-loss churn; exclusives,docs/solver-capability-memory.md; docs/solver-scheduling-policy.md; docs/solver-evaluation-evidence.md
P176,open question,epistemic,problem semantics,difficulty,A level's solution-space topology or volume may be a better notion of intrinsic difficulty than current surface descriptors.,underasked,level; population,medium-high,"Current classes and static descriptors mostly characterize puzzle surface or observed failure, while completion multiplicity/regime geometry is not first-class.","Better intrinsic difficulty variables could improve stratification, routing, and premise testing.",difficulty-representation gap,causality,level; population,problem semantics / solution space,multiplicity; regimes; topology,docs/solver-evaluation-evidence.md; docs/solver-reasoning-capability-atlas.md
