id,kind,stratum,domain,stage,proposition,status,population,weight,evidence_summary,solve_count_link,gap_type,dependencies,interactions,adjacent_unasked,source_paths,architecture_epoch
P031,implicit premise,architecture,pruning & exact inference,node,Every production prune is sound over the complete game semantics it assumes.,must remain invariant,general,very high,Atlas distinguishes sound necessary conditions from heuristic ranking and exact validation.,Any unsound prune directly loses solvability.,correctness audit,,,Can heuristic-to-theorem audits also reveal theorem-to-heuristic boundary violations?,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P032,open question,mechanism,pruning & exact inference,node,Several individually feasible remaining obligations can be jointly unrealizable in a way current scalar bounds fail to detect.,high-value open,general,very high,Atlas identifies joint future-feasibility as a major inference/composition gap; H1 falsified only one compact event vocabulary.,"A sound joint infeasibility test can prune doomed basins early, reallocating work to solvable ones.",inference + composition gap,,,What per-instance exact/relaxed procedure derives joint incompatibility without a universal descriptor?,docs/solver-reasoning-capability-atlas.md; docs/solver-research-question-relations.json,current
P033,premise,mechanism,pruning & exact inference,node,A small scalar future-feasibility descriptor can separate LIVE from DEAD states.,closed tested form,31 exact-labelled states / 15 levels,low,Six prespecified summaries overlapped LIVE/DEAD; joint-obligation rejects zero.,Would have enabled cheap pruning/ranking if true.,closed form; broader semantic question remains,,,,docs/solver-research-question-relations.json,current
P034,premise,mechanism,pruning & exact inference,node,A compact categorical event-feasibility vocabulary recurs across parents as a LIVE/DEAD discriminator.,closed tested form,frozen H1 population,low,449-query test found direction reversal/weak separation; vocabulary closed as universal descriptor.,Would have supplied a reusable joint-feasibility signal.,negative only for frozen vocabulary,,,,docs/solver-research-question-relations.json,current
P035,open question,mechanism,pruning & exact inference,node,Small causal DEAD cores can be derived per instance and reused to avoid equivalent future failure.,"deferred, population/contrast blocked",general,high,Pilot found 3/4 exact-DEAD states became feasible after relaxing one commitment; larger exact-DEAD population exists but trustworthy LIVE contrast currently missing.,Conflict learning can prune many syntactically different repetitions of the same contradiction.,inference + persistence + communication,,,Can a production-quality sibling constructor provide LIVE controls? Can conflicts generalize within one level without cross-level recurrence?,docs/solver-research-question-relations.json; docs/solver-future-work.md,current
P036,open question,mechanism,pruning & exact inference,node,"Some soft heuristic relations have sound subdomains that can be promoted to exact bounds, forced moves, or mode switches.",deferred trigger,general,medium,Future work has heuristic-to-theorem subdomain audit.,Converts noisy guidance into safe search-space reduction.,exactification gap,,,,docs/solver-future-work.md,current
P037,open question,mechanism,pruning & exact inference,micro-query,Bounded exact reasoning can be purchased during a cold solve when uncertainty is expensive.,high-value open / deferred until tractability signal,general,high,Atlas explicitly marks exact/reference reasoning as offline and bounded exact residual query as a gap.,Can resolve ambiguity or finish residuals that heuristic search mishandles.,exposure + architectural gap,,,"What trigger predicts positive exact-query economics? What answer types are most valuable: feasible, forced move, core, lower bound, completion?",docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P040,premise,mechanism,ordering & ranking,expansion,Move/exploration ordering can recover solves under unchanged legality.,strongly demonstrated but saturated,general,high,Multiple historical/current ordering and retry systems; ranking machinery is among strongest conceptual territories.,"Under finite work, order determines whether solvable branches are reached before cutoff.",dense research region,,,,docs/solver-research-question-relations.json; docs/solver-reasoning-capability-atlas.md,current
P041,premise,mechanism,ordering & ranking,expansion,Whole-puzzle context can improve local move ranking enough to recover unique solves.,mixed / many tested forms reduced,general,medium,Whole-puzzle/reranking families repeatedly move internal rankings with limited solve-count conversion.,Can rescue branches local heuristics undervalue.,conversion gap,,,"Condition reranking only on cases where target exists and first loss is rank/budget, not representation/generation.",docs/solver-optimization-workstreams.md; docs/solver-research-question-relations.json,current
P042,premise,mechanism,ordering & ranking,expansion,Semantic embeddings/rescoring expose useful solution structure.,signal exists; many solve-count forms reduced,general,medium,Current workstream history includes R38-R43 families and alternate embeddings/cosine variants; many internal movements fail to create new solves.,Potentially improves target rank but may not cross search cutoffs.,rank-to-solve causal bridge,,,,docs/solver-optimization-workstreams.md,current
P043,implicit premise,architecture,ordering & ranking,expansion,Scalar score aggregation is an adequate decision object for strategically different future regimes.,under-questioned,general,high,Atlas says relation among future obligations and completion regimes is weakly represented while scalar scoring is heavily researched.,"If strategic alternatives are non-commensurable, another score term cannot express the choice.",decision-representation gap,,,"Would categorical regimes, partial orders, Pareto fronts, or constraint sets preserve options better than a scalar?",docs/solver-reasoning-capability-atlas.md,current
P044,open question,mechanism,ordering & ranking,expansion,Disagreement/uncertainty among scoring views can identify states where exploration is more valuable than exploitation.,largely untested as explicit premise,general,medium,"Diversity/novelty/disagreement search exists in future-work idea space, but atlas shows no first-class uncertainty-guided controller.",Could allocate scarce branching to ambiguous states most likely to hide unique solves.,uncertainty-control gap,,,Can calibrated disagreement predict exact LIVE/DEAD ambiguity or downstream rescue?,docs/solver-future-work.md; docs/solver-reasoning-capability-atlas.md,current
P045,open question,architecture,ordering & ranking,expansion,"A temporarily worse-looking intermediate state may be necessary for a solvable completion, violating monotone-progress assumptions embedded in heuristics.",implicit / under-tested,general,high,"Repair and LDS demonstrate value in escaping greedy commitment, but no general monotonicity audit is a named premise.",Monotone biases can systematically bury solutions requiring detours or obligation deferral.,implicit heuristic premise,,,"On exact LIVE traces, how often does every successful path require a temporary regression on dominant progress scores?",docs/solver-reasoning-capability-atlas.md; docs/solver-archaeology-register.md,current
P050,premise,mechanism,frontier retention & diversity,beam,Preserving structurally diverse partial futures can prevent extinction of the only live basin.,partly supported; generic form insufficient,general,high,"Mechanic buckets preserve fresh progress on some siblings, but class-5 canaries fail and DEAD can still outrank LIVE.",Retention controls whether unique viable branches survive finite beam width.,diversity-axis gap,,,,docs/solver-research-question-relations.json,current
P051,premise,mechanism,frontier retention & diversity,beam merge,Coarse portal state merging can expose a large positive solve basin.,demonstrated capability; placement-sensitive,general,high,Global form had gains and losses; dead-last additive allocation produced 86 valid gains / 0 losses on earned 113-row population and was promoted.,Compression/diversification changed reachable work enough to add solves.,placement economics solved for one form,,,,docs/solver-research-question-relations.json,current
P052,implicit premise,architecture,frontier retention & diversity,beam merge,Duplicate detection should optimize syntactic or low-dimensional similarity rather than future behavioral equivalence.,weakened,general,high,Naive exact identity compresses poorly; coarse identities can mix LIVE/DEAD behavior.,Wrong equivalence either wastes work or kills unique capability.,behavioral-equivalence gap,,,Can exact probes learn a level-local quotient or conditional merge certificate?,docs/solver-reasoning-capability-atlas.md,current
P053,open question,mechanism,frontier retention & diversity,beam,Pareto or regime-aware retention can preserve strategically incomparable futures better than scalar top-k beam selection.,largely unasked explicit form,general,high,"Current atlas emphasizes scalar scoring plus selected mechanic diversity, but no first-class completion-regime object.",Could preserve live alternatives that lose on aggregate score.,retention architecture gap,,,Which small set of future obligations defines meaningful incomparability?,docs/solver-reasoning-capability-atlas.md,current
P060,premise,mechanism,"budget, routing & control",stage,More generic budget can recover solves missed only because search stops too early.,known but broad forms closed/expensive,general,medium,Future work closes unconditional wider beam/generic budget unless ordering/budget bottleneck evidence appears.,Power-limited cases can be solved without new semantics.,power vs capability diagnosis,,,,docs/solver-future-work.md; docs/solver-reasoning-capability-atlas.md,current
P061,premise,mechanism,"budget, routing & control",routing,Puzzle-specific routing among genuinely different search modes can increase unique solves.,partly implemented / conditional,general,high,Portfolio/routing exists with static features; per-level search-plan compilation remains deferred.,Complementary modes can add solves without exposing every level to every cost.,selector quality / architecture diversity,,,,docs/solver-research-question-relations.json; docs/solver-reasoning-capability-atlas.md,current
P062,open question,architecture,"budget, routing & control",routing,Routing should operate at frontier episode/state rather than only whole-puzzle or stage granularity.,underexplored,general,high,"Atlas describes static level features and staged fallback, with weak high-level planning and limited cross-process communication.",Different failure regimes may emerge only after search begins.,adaptive-control gap,,,"Can online features predict a switch to beam, repair, exact query, topology reasoning, or deeper work?",docs/solver-reasoning-capability-atlas.md,current
P063,open question,architecture,"budget, routing & control",control loop,"Search should infer its current failure mode online and change strategy, rather than execute a mostly fixed pipeline.",underexplored,general,very high,Current architecture has staged diversification but no general search-plan compilation/replanning loop.,Could concentrate compute on the mechanism currently blocking the solve.,adaptive-controller gap,,,"What observable symptoms distinguish source absence, pruning, rank extinction, topology trap, or pure dose shortage?",docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P064,premise,mechanism,"budget, routing & control",stage,A known capability may be valuable only in a dead-last additive placement that cannot displace ordinary winners.,strongly demonstrated,general,high,Portal coarse-state global form regressed; dead-last additive form gained 86/113 with zero losses.,Placement converts latent capability into net solve count.,generalization question,,,Which other failed-but-capable mechanisms are placement failures rather than capability failures?,docs/solver-research-question-relations.json,current
P065,open question,epistemic,"budget, routing & control",allocation,Expected new solves per marginal unit of work is a better allocation objective than raw per-stage success rate.,implicit / partly practiced,general,high,"Recent studies emphasize fixed-work economics, downstream displacement and workSpent.",Prevents spending compute on solves another stage already captures.,objective formalization gap,,,Can marginal solve value be estimated online without historical identity leakage?,docs/solver-research-question-relations.json,current
P066,premise,mechanism,"budget, routing & control",repair,Repair locality is governed by a small commitment interface rather than remaining path length.,closed tested form on Card-E,general,low,H3 found remaining path length dominated rescuability; commitment-specific features were secondary.,Would have enabled dependency-conditioned neighborhoods.,population-specific negative,,,Could a length-matched different retreat population reveal commitment structure?,docs/solver-research-question-relations.json,current
P067,open question,architecture,"budget, routing & control",restart,Repeated passes should share useful knowledge rather than restart epistemically from zero.,high-value open,general,high,Persistence topology shows useful knowledge mostly stays local; no general invocation blackboard.,Avoids rediscovering the same dead causes and can diversify deliberately.,persistence + communication,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P070,implicit premise,architecture,search architecture,search,Forward valid-prefix construction is the right dominant search object.,"strong incumbent, open premise",general,very high,Atlas identifies forward-prefix family as dominant and alternative search objects as a major architectural gap.,"If hard misses require planning backward/global structure first, local forward search may be intrinsically badly conditioned.",architectural gap,,,"Which misses become easy under a different object: abstract plan, backward contract, relaxed complete path, region composition?",docs/solver-reasoning-capability-atlas.md,current
P071,open question,architecture,search architecture,search,Backward reasoning from completion requirements can expose constraints invisible to forward local traversal.,open / deferred cheap-gate,general,high,No production backward abstraction; bidirectional/backward work deferred until compact sound residual/interface signature exists.,Could eliminate impossible prefixes or meet forward search near constrained goals.,architectural + representation,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P072,open question,architecture,search architecture,search,Bidirectional or meet-in-the-middle search can exploit a compact interface without full path-history explosion.,deferred,general,high,Explicit future-work descendant with interface-signature gate; naive exact MITM identity demoted.,Potential exponential depth reduction on suitable levels.,interface-state gap,,,,docs/solver-future-work.md; docs/solver-reasoning-capability-atlas.md,current
P073,open question,architecture,search architecture,search,Relaxed complete-path candidates can be repaired by local structural surgery into accepted solutions.,deferred cheapest falsifier,general,high,Complete-path LNS explicitly deferred pending bounded local-reachability falsifier.,Changes search from constructing a perfect prefix to repairing whole structure.,search-object gap,,,,docs/solver-future-work.md,current
P074,open question,architecture,search architecture,search,Region decomposition plus interface composition can solve globally hard instances from locally tractable pieces.,active/prepared premise gate,general,very high,Separator census is active/prepared; atlas treats decomposition as major composition/architectural gap.,Could alter effective complexity class on separator-rich levels.,representation + composition + architecture,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P075,open question,architecture,search architecture,planning,Per-level search-plan compilation from cold structural facts can select/sequence reasoning primitives uniquely for each puzzle.,deferred,general,high,Explicit future-work question requiring complementary architectures with predictable niches.,Could use richer level-specific strategy without hardcoded identity.,planning architecture gap,,,,docs/solver-future-work.md,current
P076,open question,architecture,search architecture,search,Choice-bearing macro-actions can compress repeated route structure without hiding important alternatives.,deferred,general,medium,Future work requires mechanism-specific repeated route structure beyond certified one-successor chains.,Reduces depth and rediscovery while preserving meaningful decisions.,macro-action gap,,,,docs/solver-future-work.md,current
P077,speculation,architecture,search architecture,search,Human-inspired reasoning motifs can create qualitatively different search trajectories.,deferred broad idea,general,medium,"Listed in broader future-work idea space, but current atlas insists on naming the missing semantic operation first.",Potential source of new capability if translated into exact/heuristic operations.,underspecified premise,,,"Which human operation is absent: obligation planning, contradiction, decomposition, backward chaining, symmetry?",docs/solver-future-work.md,current
P080,implicit premise,architecture,failure learning & revision,backtrack,Backtracking/restart is sufficient response to failure; explicit causal explanation is unnecessary.,strongly challenged,general,very high,Atlas marks failure explanation and selective commitment revision as major gaps.,"Without causal explanation, search can repeat equivalent failure across many syntactic branches.",inference + revision gap,,,,docs/solver-reasoning-capability-atlas.md,current
P081,open question,architecture,failure learning & revision,failure,Failure causes can be represented as compact constraints/cores that generalize within the same solve.,open / early evidence,general,high,Repair exact-signature cache exists; DEAD-core pilot gives limited evidence for small causal relaxations.,Can convert failure into future pruning/backjumping and free work for live basins.,causal abstraction gap,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-research-question-relations.json,current
P082,open question,architecture,failure learning & revision,revision,Solver can identify which earlier commitment caused contradiction and revise only that commitment.,major open,general,very high,"Current DFS backtracks, beam preserves alternatives, repair restarts/splices; no first-class causal commitment edit.",Targeted revision could retain useful structure while escaping dead basins.,revision + action,,,,docs/solver-reasoning-capability-atlas.md,current
P083,open question,architecture,failure learning & revision,communication,"DFS, beam, repair, exact probes and other processes should exchange typed facts during one invocation.",major open / deferred,general,high,No general within-invocation blackboard; cooperative portfolio deferred until complementary artifacts are shown.,One mode’s proof or candidate can prevent another from rediscovering or missing it.,communication gap,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P084,open question,epistemic,failure learning & revision,diagnosis,A failed technique may be more valuable as an information probe than as a direct solver treatment.,underused explicit premise,general,medium,"Capability memory preserves outcome signatures, but experiment design is still often framed around direct solve promotion.","Probes can reveal latent subclasses, failure causes, or routing selectors that later yield solves.",research-objective gap,,,,docs/solver-capability-memory.md; docs/solver-reasoning-capability-atlas.md,current
P090,implicit premise,architecture,global obligation reasoning,node,Mechanic obligations can be evaluated mostly independently plus a few narrow joint propagators.,challenged,general,very high,Atlas calls relation among several future obligations weak and joint unrealizability a major gap.,Independent feasibility can miss mutually incompatible obligations and waste search.,composition gap,,,,docs/solver-reasoning-capability-atlas.md,current
P091,open question,mechanism,global obligation reasoning,planning,Obligation order/interface choices can be solved as a relational feasibility problem before detailed geometry.,open after H1 narrowing,general,high,"H1 compact vocabulary failed, but atlas explicitly preserves broader per-instance joint-feasibility premise.",Can rule out dead completion regimes or choose a viable one before costly prefix commitment.,composition/inference,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-research-question-relations.json,current
P092,open question,architecture,global obligation reasoning,planning,A hierarchy from abstract obligations to concrete path geometry can guide search more effectively than direct move ranking.,largely untested,general,high,No first-class abstract completion plan; per-level plan compilation and CEGAR-style descendants are deferred.,Separates strategic feasibility from tactical routing.,planning hierarchy gap,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P093,open question,architecture,global obligation reasoning,node,Path-conditioned separator-side commitments can produce sound accessibility consequences.,supported premise / open derivation,general,high,Topology forks show same endpoint/ordinary state can differ LIVE/DEAD due path history.,Can distinguish futures current scalar/state descriptors collapse.,topology inference,,,,docs/solver-reasoning-capability-atlas.md,current
P100,premise,mechanism,repair & alternative continuation,repair,Repair/reconstruction can reach solutions forward DFS/beam miss.,demonstrated,general,high,Repair is a production search paradigm with distinct capability and near-miss/elite machinery.,Adds complementary solve basin.,mature capability; allocation/revision still open,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-capability-memory.md,current
P101,implicit premise,architecture,repair & alternative continuation,repair,Repair should reconstruct prefixes rather than preserve nearly-correct complete global structure.,open,general,high,Atlas marks preservation of complete global structure during local defect repair as a search-object gap.,Prefix-centric repair may destroy useful downstream structure and re-solve too much.,search-object gap,,,,docs/solver-reasoning-capability-atlas.md,current
P102,open question,mechanism,repair & alternative continuation,repair,Near-miss signals can identify where additional repair work has positive marginal solve value.,historically conditional,general,medium,Near-miss allocation remains dormant until a fresh legal population or changed allocation contract.,Could target repair compute to rescueable states.,selector/economics,,,,docs/solver-future-work.md,current
P110,speculation,mechanism,learning & transfer,ranking/routing,A learned ranker/policy can capture interactions hand-written heuristics miss.,deferred until labeled evidence,general,medium,Explicit future-work gate; ML/bandit scheduling broad forms closed before fixed-work marginal value.,Could improve ordering/routing if training labels reflect causal success.,data/causality gap,,,,docs/solver-future-work.md,current
P111,speculation,architecture,learning & transfer,cross-puzzle,Cross-puzzle transfer/meta-learning can infer reusable priors without violating level-blindness.,deferred / provenance-sensitive,general,medium,"Future idea space contains transfer, while policy forbids routing from historical identity but permits generic learned procedures subject to provenance constraints.",Could bias search toward historically useful structures.,provenance + generalization,,,,docs/solver-level-blindness.md; docs/solver-future-work.md,current
P112,open question,epistemic,learning & transfer,dataset,Solved traces are a censored sample of search behavior and may not identify what distinguishes unsolved instances.,underasked,general,high,Current research increasingly uses exact LIVE/DEAD sibling labels precisely because successful-path evidence alone is insufficient.,Learning from only winners can reinforce incumbent biases and miss failure causes.,selection-bias gap,,,What counterfactual labels can exact probes provide for states the production solver never retains?,docs/solver-research-question-relations.json; docs/solver-reasoning-capability-atlas.md,current
P113,open question,epistemic,learning & transfer,dataset,The residual corpus contains distinct latent regimes that should be modeled separately rather than as one unsolved population.,strongly suggested / ongoing,general,very high,"Class-1..5 residual work, portal class-4 basin, class-5 zero capability-memory reach, topology cohorts all show heterogeneous mechanisms.",Subclassing can reveal effects washed out in aggregate and route complementary capability.,latent-regime gap,,,Can regimes be defined by causal failure locus rather than descriptive features?,docs/solver-research-question-relations.json; docs/solver-solution-profile.md,current
P114,open question,epistemic,learning & transfer,dataset,Generation methods cover the structurally relevant Pathfinder space rather than over-sampling familiar motifs.,open,general,medium,"Multiple corpus/generation methods exist, but broad representativeness is a separate research question.",Missing structural regimes can hide both solver weaknesses and promising mechanisms.,dataset coverage gap,,,"Map corpus coverage in mechanic combinations, topology, obligation coupling, separator structure, and target failure loci.",docs/solver-solution-profile.md; docs/solver-future-work.md,current
P120,premise,epistemic,systems & reproducibility,execution,Observed solve deltas are deterministic mechanism effects rather than timing/parallel noise.,explicitly guarded,general,high,Determinism is an explicit research question; reproducibility controls are part of current method.,Noise can create false premises or hide small real gains.,reproducibility,,,,docs/solver-research-question-relations.json; docs/solver-benchmarking.md,current
P121,implicit premise,architecture,systems & reproducibility,cache,Caches and memoization preserve semantic validity under state/config/version changes.,open audit surface,general,medium,Archaeology records caches/precompute/parser/normalization as capability/performance surfaces.,Stale or overly broad cache keys can erase capability or corrupt evidence.,cache-invalidation gap,,,Do cache keys encode every behavior-relevant context dimension?,docs/solver-archaeology-register.md,current
P122,open question,mechanism,systems & reproducibility,continuation,Live frontier continuation across tranches/stages can preserve expensive useful search state.,research primitive exists; allocation conditional,general,medium,Beam continuation exists but ordinary scheduling discards live frontier at tranche end.,Continuation can turn repeated restart cost into deeper effective search.,exposure/persistence,,,,docs/solver-reasoning-capability-atlas.md; docs/solver-future-work.md,current
P123,implicit premise,epistemic,systems & reproducibility,measurement,workSpent or nominal budget is comparable across mechanisms and stages.,requires explicit accounting,general,high,Recent class studies emphasize exact-action dose and distinguish capability from economics.,Bad work normalization can close mechanisms on incomparable exposure.,dose comparability gap,,,,docs/solver-research-question-relations.json; docs/solver-future-work.md,current
P130,implicit premise,epistemic,research method,premise generation,Named algorithm families are a useful unit for generating new solver hypotheses.,explicitly demoted,general,high,Latest atlas requires stating missing semantic operation before naming an algorithm.,Algorithm-first ideation can produce many variants of the same capability and leave semantic gaps untouched.,ontology bias,,,,docs/solver-reasoning-capability-atlas.md,current
P131,open question,epistemic,research method,premise generation,Current research vocabulary itself biases attention toward easily measurable ranking/order questions.,strongly suggested,general,high,Atlas describes ranking/retention as heavily researched and joint reasoning/revision/communication as thin territory.,Research can exhaust one dense neighborhood while large capability gaps remain unexplored.,research-density bias,,,,docs/solver-reasoning-capability-atlas.md,current
P132,implicit premise,epistemic,research method,experiment design,A mechanism should show immediate solve gain before deeper instrumentation is justified.,weakened,general,medium,Capability-memory and exact diagnostic programs preserve useful signatures from non-promoted treatments.,Can prematurely kill enabling components whose value is combinatorial.,premature stop condition,,,,docs/solver-capability-memory.md; docs/solver-research-question-relations.json,current
P133,open question,epistemic,research method,experiment design,Interactions among individually weak mechanisms can create capability unavailable to either alone.,underexplored systematically,general,high,Portal coarse placement is a concrete interaction between capability and allocation; many reranking/candidate-generation/global reasoning components are tested largely in bounded forms.,"Solve acquisition is often conjunctive: candidate must exist, survive, rank, receive work, and validate.",interaction gap,,,Build an interaction matrix only where failure-locus evidence says two mechanisms repair consecutive losses.,docs/solver-capability-memory.md; docs/solver-research-question-relations.json,current
